iter	Passed	Remaining
0	0	74
1	0	73
2	1	72
3	1	71
4	1	70
5	2	69
6	2	68
7	3	68
8	3	68
9	3	67
10	4	66
11	4	66
12	5	65
13	5	65
14	5	65
15	6	64
16	6	64
17	6	63
18	7	63
19	7	63
20	8	62
21	8	62
22	8	61
23	9	61
24	9	61
25	9	60
26	10	60
27	10	59
28	11	59
29	11	59
30	11	58
31	12	58
32	12	57
33	13	57
34	13	56
35	13	56
36	14	56
37	14	55
38	14	55
39	15	55
40	15	54
41	16	54
42	16	53
43	16	53
44	17	53
45	17	52
46	17	52
47	18	51
48	18	51
49	19	51
50	19	50
51	19	50
52	20	50
53	20	49
54	21	49
55	21	48
56	21	48
57	22	48
58	22	47
59	23	47
60	23	47
61	23	46
62	24	46
63	24	46
64	25	45
65	25	45
66	25	44
67	26	44
68	26	44
69	26	43
70	27	43
71	27	43
72	28	42
73	28	42
74	28	41
75	29	41
76	29	41
77	29	40
78	30	40
79	30	39
80	31	39
81	31	39
82	31	38
83	32	38
84	32	37
85	32	37
86	33	37
87	33	36
88	34	36
89	34	36
90	34	35
91	35	35
92	35	34
93	36	34
94	36	34
95	36	33
96	37	33
97	37	32
98	37	32
99	38	32
100	38	31
101	39	31
102	39	31
103	39	30
104	40	30
105	40	29
106	41	29
107	41	29
108	41	28
109	42	28
110	42	27
111	42	27
112	43	27
113	43	26
114	44	26
115	44	26
116	44	25
117	45	25
118	45	24
119	45	24
120	46	24
121	46	23
122	47	23
123	47	22
124	47	22
125	48	22
126	48	21
127	49	21
128	49	21
129	49	20
130	50	20
131	50	19
132	50	19
133	51	19
134	51	18
135	52	18
136	52	17
137	52	17
138	53	17
139	53	16
140	53	16
141	54	16
142	54	15
143	55	15
144	55	14
145	55	14
146	56	14
147	56	13
148	56	13
149	57	12
150	57	12
151	58	12
152	58	11
153	58	11
154	59	11
155	59	10
156	59	10
157	60	9
158	60	9
159	61	9
160	61	8
161	61	8
162	62	8
163	62	7
164	63	7
165	63	6
166	63	6
167	64	6
168	64	5
169	64	5
170	65	4
171	65	4
172	66	4
173	66	3
174	66	3
175	67	3
176	67	2
177	67	2
178	68	1
179	68	1
180	69	1
181	69	0
182	69	0
183	70	0
