STATION_ID,IRI,Year,Precipitation,Temperature,AADTT,SN
12_1060,0.66,1990,1335,25.3,253,4.0
12_1060,0.64,1990,1335,25.3,253,4.0
12_1060,0.63,1990,1335,25.3,253,4.0
12_1060,0.64,1990,1335,25.3,253,4.0
12_1060,0.67,1992,1496,24.6,130,4.0
12_1060,0.67,1992,1496,24.6,130,4.0
12_1060,0.66,1992,1496,24.6,130,4.0
12_1060,0.68,1992,1496,24.6,130,4.0
12_1060,0.63,1994,2027,25.3,126,4.0
12_1060,0.62,1994,2027,25.3,126,4.0
12_1060,0.63,1994,2027,25.3,126,4.0
12_1060,0.62,1994,2027,25.3,126,4.0
12_1060,0.7,1998,1616,25.4,81,4.0
12_1060,0.71,1998,1616,25.4,81,4.0
12_1060,0.7,1998,1616,25.4,81,4.0
12_1060,0.73,1998,1616,25.4,81,4.0
12_1060,0.72,1998,1616,25.4,81,4.0
12_1060,0.76,2000,1463,24.6,83,4.0
12_1060,0.73,2000,1463,24.6,83,4.0
12_1060,0.76,2000,1463,24.6,83,4.0
12_1060,0.77,2000,1463,24.6,83,4.0
12_1060,0.73,2000,1463,24.6,83,4.0
12_1060,0.73,2002,1604,25.0,230,4.0
12_1060,0.74,2002,1604,25.0,230,4.0
12_1060,0.74,2002,1604,25.0,230,4.0
12_1060,0.73,2002,1604,25.0,230,4.0
12_1060,0.74,2002,1604,25.0,230,4.0
12_3995,1.0,1990,1430,25.1,699,5.6
12_3995,1.01,1990,1430,25.1,699,5.6
12_3995,1.02,1990,1430,25.1,699,5.6
12_3995,1.0,1990,1430,25.1,699,5.6
12_3995,1.01,1992,1626,23.6,1022,5.6
12_3995,0.99,1992,1626,23.6,1022,5.6
12_3995,1.0,1992,1626,23.6,1022,5.6
12_3995,1.01,1992,1626,23.6,1022,5.6
12_3995,0.99,1992,1626,23.6,1022,5.6
12_3995,0.96,1994,1996,24.2,501,5.6
12_3995,0.95,1994,1996,24.2,501,5.6
12_3995,0.97,1994,1996,24.2,501,5.6
12_3995,0.96,1994,1996,24.2,501,5.6
12_3995,1.14,1997,1824,24.5,1826,5.6
12_3995,1.15,1997,1824,24.5,1826,5.6
12_3995,1.15,1997,1824,24.5,1826,5.6
12_3995,1.11,1997,1824,24.5,1826,5.6
12_3995,1.13,1997,1824,24.5,1826,5.6
12_3996,1.08,1990,1165,23.5,203,4.8
12_3996,1.07,1990,1165,23.5,203,4.8
12_3996,1.08,1990,1165,23.5,203,4.8
12_3996,1.05,1990,1165,23.5,203,4.8
12_3996,1.1,1990,1165,23.5,203,4.8
12_3996,1.09,1992,1300,21.9,146,4.8
12_3996,1.1,1992,1300,21.9,146,4.8
12_3996,1.14,1992,1300,21.9,146,4.8
12_3996,1.13,1992,1300,21.9,146,4.8
12_3996,1.13,1992,1300,21.9,146,4.8
