STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
23,Maine,1012,1,1999,1854,676710
23,Maine,1012,1,1987,1440,525600
23,Maine,1012,1,1986,1310,478150
23,Maine,1012,1,1985,1280,156160
23,Maine,1012,1,1989,1690,616850
23,Maine,1012,1,2002,1799,242865
23,Maine,1012,1,2000,1782,652212
23,Maine,1012,1,1990,1150,419750
23,Maine,1012,1,1988,1470,538020
23,Maine,1012,1,1998,1530,558450
23,Maine,1012,1,1997,1437,524505
23,Maine,1012,1,1996,1343,491538
23,Maine,1012,1,1995,1320,481800
23,Maine,1012,1,1994,1280,467200
23,Maine,1012,1,1993,1270,463550
23,Maine,1012,1,1992,1210,442860
23,Maine,1012,1,1991,1160,423400
23,Maine,1012,1,2001,1843,672695
26,Michigan,1010,1,1993,130,47450
26,Michigan,1010,1,1982,316,115340
26,Michigan,1010,1,1991,80,29200
26,Michigan,1010,1,1990,78,28470
26,Michigan,1010,1,1989,200,73000
26,Michigan,1010,1,1988,160,58560
26,Michigan,1010,1,1987,455,166075
26,Michigan,1010,1,1986,445,162425
26,Michigan,1010,1,1985,445,162425
26,Michigan,1010,1,1995,202,73730
26,Michigan,1010,1,1983,450,164250
26,Michigan,1010,1,1994,184,67160
26,Michigan,1010,1,1981,450,164250
26,Michigan,1010,1,1980,450,164700
26,Michigan,1010,1,1979,425,155125
26,Michigan,1010,1,1978,425,155125
26,Michigan,1010,1,1977,400,146000
26,Michigan,1010,1,1976,390,142740
26,Michigan,1010,1,1975,350,53550
26,Michigan,1010,1,1984,450,164700
26,Michigan,1010,1,1992,82,30012
26,Michigan,1010,1,1998,98,21756
26,Michigan,1010,1,1997,126,45990
26,Michigan,1010,1,1996,158,57828
26,Michigan,1001,1,1979,85,31025
26,Michigan,1001,1,1985,55,20075
26,Michigan,1001,1,1996,129,47214
26,Michigan,1001,1,1995,112,40880
26,Michigan,1001,1,1994,79,28835
26,Michigan,1001,1,1993,78,28470
26,Michigan,1001,1,1992,55,20130
26,Michigan,1001,1,1991,68,24820
26,Michigan,1001,1,1990,40,14600
26,Michigan,1001,1,1989,45,16425
26,Michigan,1001,1,1988,50,18300
26,Michigan,1001,1,1971,35,4270
26,Michigan,1001,1,1986,55,20075
26,Michigan,1001,1,1999,62,22630
26,Michigan,1001,1,1983,55,20075
26,Michigan,1001,1,1981,55,20075
26,Michigan,1001,1,1980,85,31110
26,Michigan,1001,1,1978,75,27375
26,Michigan,1001,1,1976,65,23790
26,Michigan,1001,1,1975,65,23725
26,Michigan,1001,1,1974,60,21900
26,Michigan,1001,1,1973,55,20075
26,Michigan,1001,1,1972,40,14640
26,Michigan,1001,1,1987,55,20075
26,Michigan,1001,1,1977,75,27375
26,Michigan,1001,1,1997,117,42705
26,Michigan,1001,1,1998,126,45990
26,Michigan,1001,1,2006,87,15834
26,Michigan,1001,1,2005,83,30295
26,Michigan,1001,1,2004,79,28914
26,Michigan,1001,1,2003,55,20075
26,Michigan,1001,1,2002,73,26645
26,Michigan,1001,1,2001,84,30660
26,Michigan,1001,1,2000,81,29646
26,Michigan,1001,1,1982,55,20075
26,Michigan,1001,1,1984,55,20130
27,Minnesota,1029,1,1988,210,76860
27,Minnesota,1029,1,1971,230,83950
27,Minnesota,1029,1,1994,205,74825
27,Minnesota,1029,1,1970,225,82125
27,Minnesota,1029,1,1995,217,79205
27,Minnesota,1029,1,1993,184,67160
27,Minnesota,1029,1,1992,207,75762
27,Minnesota,1029,1,1991,188,68620
27,Minnesota,1029,1,1990,170,62050
27,Minnesota,1029,1,1989,220,80300
27,Minnesota,1029,1,1997,195,32175
27,Minnesota,1029,1,1974,290,105850
27,Minnesota,1029,1,1996,187,68442
27,Minnesota,1029,1,1987,200,73000
27,Minnesota,1029,1,1977,210,76650
27,Minnesota,1029,1,1975,240,87600
27,Minnesota,1029,1,1973,260,94900
27,Minnesota,1029,1,1978,225,82125
27,Minnesota,1029,1,1979,210,76650
27,Minnesota,1029,1,1972,240,87840
27,Minnesota,1029,1,1981,200,73000
27,Minnesota,1029,1,1982,210,76650
27,Minnesota,1029,1,1983,210,76650
27,Minnesota,1029,1,1984,210,76860
27,Minnesota,1029,1,1980,200,73200
27,Minnesota,1029,1,1986,190,69350
27,Minnesota,1029,1,1976,190,69540
27,Minnesota,1029,1,1985,200,73000
28,Mississippi,1016,1,1994,168,61320
28,Mississippi,1016,1,1989,110,40150
28,Mississippi,1016,1,1986,90,5490
28,Mississippi,1016,1,1987,90,32850
28,Mississippi,1016,1,1988,120,43920
28,Mississippi,1016,1,1992,171,62586
28,Mississippi,1016,1,1990,124,45260
28,Mississippi,1016,1,1995,169,61685
28,Mississippi,1016,1,1996,280,102480
28,Mississippi,1016,1,1997,208,75920
28,Mississippi,1016,1,1998,214,45368
28,Mississippi,1016,1,1993,173,63145
28,Mississippi,1016,1,1991,155,56575
28,Mississippi,3083,1,1998,28,10220
28,Mississippi,3083,1,2009,41,14965
28,Mississippi,3083,1,1997,34,12410
28,Mississippi,3083,1,2011,43,15695
28,Mississippi,3083,1,2012,45,16470
28,Mississippi,3083,1,2013,46,16790
28,Mississippi,3083,1,2014,48,17520
28,Mississippi,3083,1,2015,49,17885
28,Mississippi,3083,1,2016,51,18666
28,Mississippi,3083,1,2017,53,19345
28,Mississippi,3083,1,2007,38,13870
28,Mississippi,3083,1,1989,20,7300
28,Mississippi,3083,1,1979,10,3650
28,Mississippi,3082,1,1998,422,154030
28,Mississippi,3082,1,1989,335,30820
28,Mississippi,3082,1,1990,252,91980
28,Mississippi,3082,1,1991,262,95630
28,Mississippi,3082,1,1992,354,129564
28,Mississippi,3082,1,1993,364,132860
28,Mississippi,3082,1,1994,375,136875
28,Mississippi,3082,1,1995,386,140890
28,Mississippi,3082,1,1997,410,149650
28,Mississippi,3082,1,1999,510,186150
28,Mississippi,3082,1,2000,493,180438
28,Mississippi,3082,1,2001,465,70680
28,Mississippi,3082,1,1996,398,145668
28,Mississippi,3083,1,1983,25,9125
28,Mississippi,3083,1,2010,42,15330
28,Mississippi,3083,1,1981,15,5475
28,Mississippi,3083,1,2000,30,10980
28,Mississippi,3083,1,2001,31,11315
28,Mississippi,3083,1,2002,32,11680
28,Mississippi,3083,1,2003,33,12045
28,Mississippi,3083,1,1980,15,5490
28,Mississippi,3083,1,1982,25,9125
28,Mississippi,3083,1,2006,37,13505
28,Mississippi,3083,1,1984,25,9150
28,Mississippi,3083,1,1985,25,9125
28,Mississippi,3083,1,1986,25,9125
28,Mississippi,3083,1,1999,29,10585
28,Mississippi,3083,1,1988,20,7320
28,Mississippi,3083,1,1978,10,610
28,Mississippi,3083,1,1990,13,4745
28,Mississippi,3083,1,1991,19,6935
28,Mississippi,3083,1,1992,23,8418
28,Mississippi,3083,1,1993,24,8760
28,Mississippi,3083,1,1994,24,8760
28,Mississippi,3083,1,1995,22,8030
28,Mississippi,3083,1,1996,26,9516
28,Mississippi,3083,1,1987,25,9125
28,Mississippi,3083,1,2008,39,14274
28,Mississippi,3083,1,2004,35,12810
28,Mississippi,3083,1,2005,36,13140
5,Arkansas,3048,1,1994,92,33580
5,Arkansas,3048,1,1984,54,19764
5,Arkansas,3048,1,1993,87,31755
5,Arkansas,3048,1,1983,36,13140
5,Arkansas,3048,1,1988,69,25254
5,Arkansas,3048,1,1985,60,21900
5,Arkansas,3048,1,2003,153,55845
5,Arkansas,3048,1,2004,124,41664
5,Arkansas,3048,1,1997,117,42705
5,Arkansas,3048,1,1995,92,33580
5,Arkansas,3048,1,1998,54,19710
5,Arkansas,3048,1,1996,86,31476
5,Arkansas,3048,1,1992,82,30012
5,Arkansas,3048,1,1991,81,29565
5,Arkansas,3048,1,1999,151,55115
5,Arkansas,3048,1,2001,193,70445
5,Arkansas,3048,1,2002,144,52560
5,Arkansas,3048,1,2000,147,53802
5,Arkansas,3048,1,1982,81,29565
5,Arkansas,3048,1,1981,49,1519
5,Arkansas,3048,1,1986,63,22995
5,Arkansas,3048,1,1990,77,28105
