STATE_CODE,STATE_CODE_EXP,SHRP_ID,IMP_DATE,IMP_TYPE,IMP_TYPE_EXP,CONSTRUCTION_NO,IMP_QUANTITY,IMP_THICKNESS,IMP_QUANTITY_UNITS,IMP_QUANTITY_UNITS_EXP
4,Arizona,1002,07-25-1996,51,Mill Off AC and Overlay with AC ,3,667,"88,9",2,Square Yards
4,Arizona,1003,10-01-1993,51,Mill Off AC and Overlay with AC ,4,667,"152,4",2,Square Yards
4,Arizona,1007,02-01-1995,51,Mill Off AC and Overlay with AC ,4,667,"114,3",2,Square Yards
4,Arizona,1015,01-01-1997,51,Mill Off AC and Overlay with AC ,2,667,"165,1",2,Square Yards
4,Arizona,1016,05-01-1998,51,Mill Off AC and Overlay with AC ,3,667,"127,0",2,Square Yards
4,Arizona,1022,01-10-1996,51,Mill Off AC and Overlay with AC ,3,667,"114,3",2,Square Yards
4,Arizona,1022,10-07-2015,51,Mill Off AC and Overlay with AC ,4,667,"139,7",2,Square Yards
4,Arizona,1024,04-01-1999,51,Mill Off AC and Overlay with AC ,8,667,"165,1",2,Square Yards
4,Arizona,1025,06-01-1999,51,Mill Off AC and Overlay with AC ,5,667,"114,3",2,Square Yards
4,Arizona,1062,10-07-2015,51,Mill Off AC and Overlay with AC ,7,667,"127,0",2,Square Yards
4,Arizona,1017,05-12-1997,51,Mill Off AC and Overlay with AC ,3,,"139,7",,
4,Arizona,1018,12-01-1997,51,Mill Off AC and Overlay with AC ,4,,"139,7",,
4,Arizona,1021,01-01-1997,51,Mill Off AC and Overlay with AC ,5,,"203,2",,
4,Arizona,1025,06-01-1999,51,Mill Off AC and Overlay with AC ,5,,,,
4,Arizona,1017,01-01-1989,12,Grinding Surface,2,,,,
4,Arizona,1018,01-01-1989,12,Grinding Surface,2,,,,
4,Arizona,1062,10-02-1992,12,Grinding Surface,4,,,,
4,Arizona,1062,09-01-1999,12,Grinding Surface,5,,,,
4,Arizona,1065,10-02-1992,12,Grinding Surface,5,,,,
4,Arizona,1065,09-01-1999,12,Grinding Surface,6,,,,
4,Arizona,1007,01-01-1990,11,AC Shoulder Replacement,3,,,,
4,Arizona,1036,09-17-1993,32,Sand Seal Coat,2,,,,
4,Arizona,1037,07-02-1993,32,Sand Seal Coat,2,,,,
4,Arizona,1021,01-02-2008,33,Slurry Seal Coat,6,,,,
4,Arizona,1001,01-01-1989,34,Fog Seal Coat,2,,,,
4,Arizona,1007,04-01-1989,34,Fog Seal Coat,2,,,,
4,Arizona,1024,02-03-1998,34,Fog Seal Coat,7,,,,
4,Arizona,1025,09-04-1996,34,Fog Seal Coat,4,,,,
4,Arizona,1006,10-01-1993,55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,4,667,"152,4",2,Square Yards
4,Arizona,1003,01-01-1989,1,Crack Sealing,2,,,,
4,Arizona,1003,03-01-2015,1,Crack Sealing,6,,,,
4,Arizona,1006,03-01-2015,1,Crack Sealing,6,,,,
4,Arizona,1007,01-01-1990,1,Crack Sealing,3,,,,
4,Arizona,1016,01-02-1991,1,Crack Sealing,2,,,,
4,Arizona,1017,06-01-2012,1,Crack Sealing,4,,,,
4,Arizona,1018,06-01-2012,1,Crack Sealing,5,,,,
4,Arizona,1021,01-01-1990,1,Crack Sealing,2,,,,
4,Arizona,1021,05-01-1994,1,Crack Sealing,4,,,,
4,Arizona,1024,01-01-1990,1,Crack Sealing,3,,,,
4,Arizona,1024,03-17-1997,1,Crack Sealing,5,,,,
4,Arizona,1062,06-01-2012,1,Crack Sealing,6,,,,
4,Arizona,1003,10-01-1993,19,Asphalt Concrete Overlay,4,667,"12,7",2,Square Yards
4,Arizona,1006,10-01-1993,19,Asphalt Concrete Overlay,4,667,"76,2",2,Square Yards
4,Arizona,1007,02-01-1995,19,Asphalt Concrete Overlay,4,667,"88,9",2,Square Yards
4,Arizona,1015,01-01-1997,19,Asphalt Concrete Overlay,2,667,"12,7",2,Square Yards
4,Arizona,1034,07-01-2001,19,Asphalt Concrete Overlay,5,667,"25,4",2,Square Yards
4,Arizona,1062,10-02-1992,19,Asphalt Concrete Overlay,4,667,"25,4",2,Square Yards
4,Arizona,1062,09-01-1999,19,Asphalt Concrete Overlay,5,667,"12,7",2,Square Yards
4,Arizona,1065,10-02-1992,19,Asphalt Concrete Overlay,5,667,"20,3",2,Square Yards
4,Arizona,1065,09-01-1999,19,Asphalt Concrete Overlay,6,667,"12,7",2,Square Yards
4,Arizona,1018,12-01-1997,19,Asphalt Concrete Overlay,4,,"152,4",,
4,Arizona,1006,07-01-1992,22,Manual Premix Spot Patch (hand spreading and compacting with roller),3,,,,
4,Arizona,1002,01-01-1991,25,"Patch Pot Holes - Hand Spread, Compacted with Truck",2,,,,
