VISIT_DATE,STATE_CODE,STATE_CODE_EXP,SHRP_ID,VISIT_NO,RUN_NUMBER,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI,CONSTRUCTION_NO
11/16/1990,34,New Jersey,1638,34163802,3,0.921999990940094,0.945999979972839,,0.934000015258789,1
11/16/1990,34,New Jersey,1638,34163802,2,0.930000007152557,0.939000010490418,,0.935000002384186,1
07/22/1999,85,Newfoundland,1808,85180809,4,0.732999980449677,0.939000010490418,,0.836000025272369,1
07/22/1999,85,Newfoundland,1808,85180809,3,0.730000019073486,0.924000024795532,,0.827000021934509,1
07/24/1999,85,Newfoundland,1801,85180111,3,3.30900001525879,2.89299988746643,,3.1010000705719,1
07/24/1999,85,Newfoundland,1801,85180111,4,3.21000003814697,3.06299996376038,,3.13700008392334,1
02/18/1994,50,Vermont,1002,50100205,3,1.39800000190735,1.43099999427795,,1.41400003433228,1
07/24/1999,85,Newfoundland,1801,85180111,1,3.28200006484985,2.77999997138977,,3.03099989891052,1
08/26/1993,85,Newfoundland,1808,85180805,4,0.736000001430511,0.995000004768372,,0.86599999666214,1
09/14/1992,85,Newfoundland,1808,85180804,2,0.855000019073486,0.954999983310699,,0.904999971389771,1
08/16/1994,85,Newfoundland,1808,85180806,4,0.741999983787537,1.05599999427795,,0.898999989032745,1
08/08/1995,85,Newfoundland,1808,85180807,4,0.736000001430511,0.98199999332428,,0.859000027179718,1
08/08/1995,85,Newfoundland,1808,85180807,3,0.736000001430511,0.985000014305115,,0.860000014305115,1
08/26/1991,85,Newfoundland,1808,85180803,2,0.971000015735626,0.921000003814697,,0.945999979972839,1
09/14/1992,85,Newfoundland,1808,85180804,3,0.824000000953674,0.930000007152557,,0.876999974250793,1
10/06/1989,85,Newfoundland,1808,85180801,1,0.802999973297119,0.898999989032745,,0.851000010967255,1
08/26/1993,85,Newfoundland,1808,85180805,5,0.736999988555908,1.01600003242493,,0.876999974250793,1
01/30/1990,37,North Carolina,1030,37103002,4,1.03100001811981,1.12600004673004,,1.0789999961853,1
12/15/1995,37,North Carolina,1030,37103008,1,1.09500002861023,1.22300004959106,,1.15900003910065,1
01/30/1990,37,North Carolina,1030,37103002,5,1.10399997234344,1.12399995326996,,1.1139999628067,1
07/13/1999,50,Vermont,1002,50100220,5,1.53100001811981,1.34599995613098,,1.43900001049042,1
07/13/1999,50,Vermont,1002,50100220,4,1.44500005245209,1.36000001430511,,1.40199995040894,1
02/21/1995,50,Vermont,1002,50100210,1,1.49699997901917,1.42700004577637,,1.46200001239777,1
05/18/1995,50,Vermont,1002,50100211,2,1.16499996185303,1.15499997138977,,1.1599999666214,1
07/22/1995,50,Vermont,1002,50100212,2,1.24600005149841,1.17799997329712,,1.21200001239777,1
01/06/1995,50,Vermont,1002,50100209,3,1.28999996185303,1.21300005912781,,1.25199997425079,1
02/21/1995,50,Vermont,1002,50100210,2,1.48099994659424,1.47099995613098,,1.47599995136261,1
10/23/1994,50,Vermont,1002,50100208,6,1.26499998569489,1.182000041008,,1.22399997711182,1
01/06/1995,50,Vermont,1002,50100209,6,1.26300001144409,1.21099996566772,,1.23699998855591,1
10/22/1989,50,Vermont,1002,50100201,1,1.20899999141693,1.25,,1.22899997234344,1
07/23/1992,50,Vermont,1002,50100204,2,1.18599998950958,1.05799996852875,,1.12199997901917,1
02/18/1994,50,Vermont,1002,50100205,4,1.39900004863739,1.375,,1.38699996471405,1
04/12/1994,50,Vermont,1002,50100206,3,1.16299998760223,1.15100002288818,,1.15699994564056,1
06/07/1990,50,Vermont,1002,50100202,1,1.23399996757507,1.17999994754791,,1.20700001716614,1
04/12/1994,50,Vermont,1002,50100206,5,1.14999997615814,1.14499998092651,,1.14800000190735,1
05/09/1991,50,Vermont,1002,50100203,6,1.07099997997284,1.08599996566772,,1.07799994945526,1
07/23/1992,50,Vermont,1002,50100204,5,1.14900004863739,1.07400000095367,,1.11099994182587,1
07/25/1994,50,Vermont,1002,50100207,2,1.2940000295639,1.31200003623962,,1.30299997329712,1
10/05/1999,23,Maine,1012,23101208,4,0.938000023365021,0.672999978065491,,0.805999994277954,1
10/05/1999,23,Maine,1012,23101208,3,0.851000010967255,0.662999987602234,,0.757000029087067,1
07/22/1999,85,Newfoundland,1808,85180809,1,0.735000014305115,0.921000003814697,,0.828000009059906,1
03/08/1991,37,North Carolina,1030,37103004,4,1.06400001049042,1.16100001335144,,1.11199998855591,1
06/03/1992,37,North Carolina,1030,37103005,6,0.842999994754791,1.16199994087219,,1.00300002098084,1
04/21/1993,37,North Carolina,1030,37103006,4,0.939999997615814,1.19700002670288,,1.067999958992,1
12/17/1994,37,North Carolina,1030,37103007,5,1.0460000038147,1.16400003433228,,1.10500001907349,1
12/15/1995,37,North Carolina,1030,37103008,5,1.09300005435944,1.22899997234344,,1.16100001335144,1
10/05/1989,85,Newfoundland,1801,85180101,1,1.54799997806549,2.03099989891052,,1.78999996185303,1
09/16/1992,85,Newfoundland,1801,85180105,5,2.13000011444092,2.1340000629425,,2.13199996948242,1
07/13/1999,50,Vermont,1002,50100220,1,1.52600002288818,1.26300001144409,,1.39499998092651,1
10/22/1989,50,Vermont,1002,50100201,2,1.20700001716614,1.22899997234344,,1.21800005435944,1
06/07/1990,50,Vermont,1002,50100202,7,1.26199996471405,1.15699994564056,,1.21000003814697,1
04/12/1994,50,Vermont,1002,50100206,1,1.17700004577637,1.13100004196167,,1.15400004386902,1
07/23/1992,50,Vermont,1002,50100204,1,1.16700005531311,1.05900001525879,,1.11300003528595,1
07/25/1994,50,Vermont,1002,50100207,5,1.26199996471405,1.38199996948242,,1.32200002670288,1
02/18/1994,50,Vermont,1002,50100205,5,1.38900005817413,1.39199995994568,,1.38999998569489,1
06/07/1990,50,Vermont,1002,50100202,6,1.24600005149841,1.24500000476837,,1.24600005149841,1
04/12/1994,50,Vermont,1002,50100206,4,1.12899994850159,1.14800000190735,,1.13800001144409,1
06/07/1990,50,Vermont,1002,50100202,5,1.28100001811981,1.1599999666214,,1.22000002861023,1
10/05/1999,23,Maine,1012,23101208,5,0.88400000333786,0.689999997615814,,0.787000000476837,1
10/05/1989,85,Newfoundland,1801,85180101,3,1.51699995994568,1.96800005435944,,1.74300003051758,1
09/16/1992,85,Newfoundland,1801,85180105,9,2.09899997711182,2.14299988746643,,2.12100005149841,1
08/09/1995,85,Newfoundland,1801,85180108,1,2.57500004768372,2.71099996566772,,2.64299988746643,1
08/25/1991,85,Newfoundland,1801,85180103,6,2.16700005531311,2.1340000629425,,2.15100002288818,1
08/09/1995,85,Newfoundland,1801,85180108,3,2.6470000743866,2.62199997901916,,2.63499999046326,1
08/25/1991,85,Newfoundland,1801,85180103,3,2.15799999237061,2.08599996566772,,2.12199997901916,1
09/16/1992,85,Newfoundland,1801,85180105,6,2.10700011253357,2.16000008583069,,2.1340000629425,1
08/27/1993,85,Newfoundland,1801,85180106,3,2.34899997711182,2.58899998664856,,2.46900010108948,1
10/05/1989,85,Newfoundland,1801,85180101,2,1.50899994373322,1.98399996757507,,1.74600005149841,1
08/13/1994,85,Newfoundland,1801,85180107,6,2.30200004577637,2.76999998092651,,2.53600001335144,1
08/13/1994,85,Newfoundland,1801,85180107,3,2.24200010299683,2.74399995803833,,2.49300003051758,1
07/30/1990,85,Newfoundland,1801,85180102,2,1.8400000333786,2.16199994087219,,2.00099992752075,1
08/09/1995,85,Newfoundland,1801,85180108,4,2.67799997329712,2.56699991226196,,2.62199997901916,1
08/25/1991,85,Newfoundland,1801,85180103,4,2.15199995040894,2.1029999256134,,2.12700009346008,1
10/05/1989,85,Newfoundland,1801,85180101,5,1.52300000190735,1.92599999904633,,1.72399997711182,1
12/14/1999,37,North Carolina,1030,37103011,3,1.10099995136261,1.24899995326996,,1.17499995231628,1
12/14/1999,37,North Carolina,1030,37103011,4,1.10599994659424,1.22399997711182,,1.16499996185303,1
06/03/1992,37,North Carolina,1030,37103005,3,0.819999992847443,1.12800002098084,,0.973999977111816,1
12/11/1989,37,North Carolina,1030,37103001,5,1.01199996471405,1.08700001239777,,1.04900002479553,1
12/15/1995,37,North Carolina,1030,37103008,2,1.0900000333786,1.22800004482269,,1.15900003910065,1
06/03/1992,37,North Carolina,1030,37103005,7,0.859000027179718,1.14199995994568,,1,1
12/09/1990,37,North Carolina,1030,37103003,5,1.07299995422363,1.16299998760223,,1.11800003051758,1
03/08/1991,37,North Carolina,1030,37103004,5,1.07799994945526,1.09800004959106,,1.08800005912781,1
05/18/1995,50,Vermont,1002,50100211,1,1.20099997520447,1.1690000295639,,1.18499994277954,1
07/22/1995,50,Vermont,1002,50100212,1,1.25999999046326,1.17999994754791,,1.22000002861023,1
02/21/1995,50,Vermont,1002,50100210,5,1.52199995517731,1.4210000038147,,1.47099995613098,1
05/18/1995,50,Vermont,1002,50100211,5,1.19599997997284,1.18099999427795,,1.18900001049042,1
07/22/1995,50,Vermont,1002,50100212,5,1.21700000762939,1.19200003147125,,1.2039999961853,1
01/06/1995,50,Vermont,1002,50100209,2,1.28999996185303,1.23399996757507,,1.26199996471405,1
04/21/1993,37,North Carolina,1030,37103006,1,0.952000021934509,1.18799996376038,,1.07000005245209,1
08/09/1995,85,Newfoundland,1801,85180108,2,2.60400009155273,2.70799994468689,,2.65599989891052,1
08/27/1993,85,Newfoundland,1801,85180106,2,2.26799988746643,2.64499998092651,,2.45600008964539,1
08/27/1993,85,Newfoundland,1801,85180106,1,2.38199996948242,2.48300004005432,,2.43199992179871,1
08/25/1991,85,Newfoundland,1801,85180103,2,2.16700005531311,2.18199992179871,,2.17400002479553,1
07/30/1990,85,Newfoundland,1801,85180102,6,1.80999994277954,2.20099997520447,,2.00500011444092,1
08/13/1994,85,Newfoundland,1801,85180107,2,2.31399989128113,2.71600008010864,,2.51500010490417,1
08/16/1994,85,Newfoundland,1808,85180806,5,0.763999998569489,1.03199994564056,,0.898000001907349,1
09/14/1992,85,Newfoundland,1808,85180804,4,0.829999983310699,0.925999999046326,,0.878000020980835,1
08/26/1991,85,Newfoundland,1808,85180803,4,0.927999973297119,0.947000026702881,,0.938000023365021,1
08/16/1994,85,Newfoundland,1808,85180806,6,0.746999979019165,1.04799997806549,,0.898000001907349,1
07/28/1990,85,Newfoundland,1808,85180802,2,1,0.924000024795532,,0.962000012397766,1
07/28/1990,85,Newfoundland,1808,85180802,1,0.989000022411346,0.912000000476837,,0.950999975204467,1
07/28/1990,85,Newfoundland,1808,85180802,3,0.98199999332428,0.976999998092651,,0.978999972343445,1
11/30/1989,34,New Jersey,1638,34163801,2,0.912000000476837,0.859000027179718,,0.884999990463257,1
09/07/1991,34,New Jersey,1638,34163803,1,0.933000028133392,0.962000012397766,,0.947000026702881,1
05/09/1991,50,Vermont,1002,50100203,1,1.03299999237061,1.11099994182587,,1.07200002670288,1
06/07/1990,50,Vermont,1002,50100202,4,1.317999958992,1.13800001144409,,1.22800004482269,1
09/16/1992,85,Newfoundland,1801,85180105,7,2.14499998092651,2.19000005722046,,2.16799998283386,1
07/30/1990,85,Newfoundland,1801,85180102,4,1.93299996852875,2.17400002479553,,2.05299997329712,1
08/27/1993,85,Newfoundland,1801,85180106,5,2.34800004959106,2.56699991226196,,2.45700001716614,1
08/09/1995,85,Newfoundland,1801,85180108,5,2.53900003433228,2.75200009346008,,2.64599990844727,1
08/13/1994,85,Newfoundland,1801,85180107,5,2.39100003242493,2.69799995422363,,2.54500007629395,1
10/05/1989,85,Newfoundland,1801,85180101,4,1.52199995517731,2.00799989700317,,1.76499998569489,1
07/30/1990,85,Newfoundland,1801,85180102,5,1.81599998474121,2.19199991226196,,2.00399994850159,1
